latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
32.18396,-101.56715,296.6,0.56,0.69,2019-10-18,0736,N,nominal,1.0NRT,284.7,0.2,N
32.14018,-101.45377,299,0.55,0.68,2019-10-18,0736,N,nominal,1.0NRT,286.4,0.6,N
32.15496,-101.93233,367,0.58,0.7,2019-10-18,0736,N,high,1.0NRT,289.2,11.8,N
32.15523,-101.93877,302.4,0.58,0.7,2019-10-18,0736,N,nominal,1.0NRT,285.4,9.7,N
32.20728,-103.60294,305.4,0.73,0.76,2019-10-18,0736,N,nominal,1.0NRT,283.9,1.3,N
32.15631,-101.93363,367,0.58,0.7,2019-10-18,0736,N,high,1.0NRT,288.3,7.2,N
32.14978,-101.93413,312.7,0.58,0.7,2019-10-18,0736,N,nominal,1.0NRT,285.9,7.2,N
32.20436,-103.603,307.3,0.73,0.76,2019-10-18,0736,N,nominal,1.0NRT,283.9,1.2,N
32.18986,-103.59571,295.4,0.73,0.76,2019-10-18,0736,N,nominal,1.0NRT,283.9,0.6,N
32.08149,-103.30484,303.9,0.7,0.75,2019-10-18,0736,N,nominal,1.0NRT,285.5,0.9,N
32.08334,-103.30296,300.8,0.7,0.75,2019-10-18,0736,N,nominal,1.0NRT,285.3,1,N
32.07348,-104.10542,300.1,0.78,0.78,2019-10-18,0736,N,nominal,1.0NRT,284.4,1.2,N
32.01901,-102.52855,304.2,0.63,0.72,2019-10-18,0736,N,nominal,1.0NRT,286.1,1.5,N
31.70969,-97.59044,305.6,0.32,0.55,2019-10-18,0736,N,nominal,1.0NRT,282.9,0.8,N
32.01927,-103.27654,298.2,0.7,0.75,2019-10-18,0736,N,nominal,1.0NRT,285.5,0.8,N
31.8616,-101.88908,301.7,0.58,0.7,2019-10-18,0736,N,nominal,1.0NRT,286,1.4,N
31.86132,-101.88287,301,0.58,0.7,2019-10-18,0736,N,nominal,1.0NRT,286.3,1.1,N
31.79695,-101.74897,304.2,0.57,0.69,2019-10-18,0736,N,nominal,1.0NRT,286.1,0.7,N
31.79049,-101.7494,307.4,0.57,0.69,2019-10-18,0736,N,nominal,1.0NRT,285.6,0.7,N
31.8856,-103.9712,296.9,0.76,0.77,2019-10-18,0736,N,nominal,1.0NRT,284.8,1.3,N
31.7964,-101.74857,310.3,0.57,0.69,2019-10-18,0736,N,nominal,1.0NRT,286.5,1.1,N
31.78994,-101.74896,306.2,0.57,0.69,2019-10-18,0736,N,nominal,1.0NRT,285.7,1.1,N
31.86879,-104.13805,298.6,0.78,0.78,2019-10-18,0736,N,nominal,1.0NRT,285.7,1.2,N
31.80457,-103.23788,306.2,0.69,0.74,2019-10-18,0736,N,nominal,1.0NRT,286.3,0.9,N
31.74061,-101.80241,334,0.57,0.69,2019-10-18,0736,N,nominal,1.0NRT,288.1,2.8,N
31.74089,-101.80863,298.3,0.57,0.69,2019-10-18,0736,N,nominal,1.0NRT,286.1,2.8,N
31.73413,-101.80277,367,0.57,0.69,2019-10-18,0736,N,high,1.0NRT,287.7,8.6,N
31.73442,-101.80905,307.1,0.57,0.69,2019-10-18,0736,N,nominal,1.0NRT,286.1,8.6,N
31.35261,-96.17123,313.4,0.53,0.5,2019-10-18,0736,N,nominal,1.0NRT,282.4,2,N
31.3521,-96.16559,302.2,0.53,0.5,2019-10-18,0736,N,nominal,1.0NRT,283.5,2,N
31.73099,-101.878,297.3,0.58,0.69,2019-10-18,0736,N,nominal,1.0NRT,286.3,0.6,N
31.80271,-104.1261,304,0.78,0.78,2019-10-18,0736,N,nominal,1.0NRT,284.9,1,N
31.73447,-101.80733,338.4,0.57,0.69,2019-10-18,0736,N,nominal,1.0NRT,286.4,12.8,N
31.73415,-101.80106,356.3,0.57,0.69,2019-10-18,0736,N,nominal,1.0NRT,287.2,11,N
31.73144,-101.87618,300.5,0.58,0.69,2019-10-18,0736,N,nominal,1.0NRT,286.2,0.5,N
31.80213,-104.12142,297.3,0.78,0.78,2019-10-18,0736,N,nominal,1.0NRT,285,1.2,N
31.26333,-95.94895,296.4,0.51,0.49,2019-10-18,0736,N,nominal,1.0NRT,281.2,0.6,N
31.65916,-104.02831,308.9,0.77,0.77,2019-10-18,0736,N,nominal,1.0NRT,284.8,1.4,N
31.6519,-104.02857,299.8,0.77,0.77,2019-10-18,0736,N,nominal,1.0NRT,284.6,0.6,N
31.63134,-104.07071,317.3,0.77,0.77,2019-10-18,0736,N,nominal,1.0NRT,286.4,3.4,N
31.6299,-104.02116,307.6,0.76,0.77,2019-10-18,0736,N,nominal,1.0NRT,285,1.2,N
31.62265,-104.02136,322.3,0.76,0.77,2019-10-18,0736,N,nominal,1.0NRT,285.5,3,N
31.62647,-104.15571,301.2,0.78,0.78,2019-10-18,0736,N,nominal,1.0NRT,286.9,1.2,N
31.60814,-104.0218,296.5,0.76,0.77,2019-10-18,0736,N,nominal,1.0NRT,286.3,1.5,N
31.58775,-104.07277,321.3,0.77,0.77,2019-10-18,0736,N,nominal,1.0NRT,286.8,3.8,N
31.62099,-104.01759,302.2,0.76,0.77,2019-10-18,0736,N,nominal,1.0NRT,285.4,1.3,N
31.60649,-104.01789,300.8,0.76,0.77,2019-10-18,0736,N,nominal,1.0NRT,286.4,1.4,N
31.58638,-104.06889,325.6,0.77,0.77,2019-10-18,0736,N,nominal,1.0NRT,286.8,3.6,N
31.36161,-101.78194,315.3,0.56,0.69,2019-10-18,0736,N,nominal,1.0NRT,286.8,2.3,N
31.36131,-101.77582,296.6,0.56,0.69,2019-10-18,0736,N,nominal,1.0NRT,285.8,1,N
31.34317,-101.80177,323.1,0.57,0.69,2019-10-18,0736,N,nominal,1.0NRT,286.6,2.2,N
31.2036,-101.33916,296.1,0.53,0.67,2019-10-18,0736,N,nominal,1.0NRT,285.3,0.4,N
30.81193,-96.65381,295.2,0.55,0.51,2019-10-18,0736,N,nominal,1.0NRT,281.5,0.5,N
31.20751,-102.95991,298.3,0.66,0.73,2019-10-18,0736,N,nominal,1.0NRT,287,0.5,N
31.20761,-103.13451,311.9,0.67,0.74,2019-10-18,0736,N,nominal,1.0NRT,287.2,1.5,N
30.74539,-96.66208,298.6,0.55,0.51,2019-10-18,0736,N,nominal,1.0NRT,280.3,0.6,N
31.02006,-101.32188,298.6,0.53,0.67,2019-10-18,0736,N,nominal,1.0NRT,284.1,0.8,N
30.96748,-102.80611,297.5,0.64,0.72,2019-10-18,0736,N,nominal,1.0NRT,286.4,0.5,N
30.07079,-94.06622,300.7,0.39,0.44,2019-10-18,0736,N,nominal,1.0NRT,285.9,1.7,N
30.06229,-94.06342,300.5,0.39,0.44,2019-10-18,0736,N,nominal,1.0NRT,284.8,1.4,N
30.05168,-97.85748,300.6,0.32,0.55,2019-10-18,0736,N,nominal,1.0NRT,284.9,0.7,N
26.60919,-78.37831,328.1,0.4,0.6,2019-10-18,0736,N,nominal,1.0NRT,286.8,4,N
